ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-10-10,178.4936525090108,169.3311869511447,183.52764466360216,178.4936525090108,178.4936525090108,-2.3392238855563736,-2.3392238855563736,-2.3392238855563736,3.086413528898966,3.086413528898966,3.086413528898966,-5.425637414455339,-5.425637414455339,-5.425637414455339,0.0,0.0,0.0,176.1544286234544
2023-10-11,178.73063737063828,168.59209391888052,183.44969605359643,178.73063737063828,178.73063737063828,-2.7748505365063503,-2.7748505365063503,-2.7748505365063503,2.851686827396539,2.851686827396539,2.851686827396539,-5.626537363902889,-5.626537363902889,-5.626537363902889,0.0,0.0,0.0,175.9557868341319
2023-10-12,178.96762223226582,168.18582950597434,183.0603241922426,178.96762223226582,178.96762223226582,-3.0282672916562587,-3.0282672916562587,-3.0282672916562587,2.8068832176520893,2.8068832176520893,2.8068832176520893,-5.835150509308348,-5.835150509308348,-5.835150509308348,0.0,0.0,0.0,175.93935494060958
2023-10-13,179.2046070938933,169.42916077997467,183.75196562335432,179.2046070938933,179.2046070938933,-2.9251698839985893,-2.9251698839985893,-2.9251698839985893,3.124898774210008,3.124898774210008,3.124898774210008,-6.050068658208597,-6.050068658208597,-6.050068658208597,0.0,0.0,0.0,176.2794372098947
2023-10-16,179.91556167877584,169.2176076235503,183.49694521768697,179.91556167877584,179.91556167877584,-3.55467389189764,-3.55467389189764,-3.55467389189764,3.1615062699780205,3.1615062699780205,3.1615062699780205,-6.716180161875661,-6.716180161875661,-6.716180161875661,0.0,0.0,0.0,176.3608877868782
2023-10-17,180.1525465404034,168.85752739659324,183.47070474940077,180.1525465404034,180.1525465404034,-3.85306944281471,-3.85306944281471,-3.85306944281471,3.0864135289002284,3.0864135289002284,3.0864135289002284,-6.939482971714939,-6.939482971714939,-6.939482971714939,0.0,0.0,0.0,176.2994770975887
2023-10-18,180.3895314020309,168.84818874771824,183.4292641190234,180.3895314020309,180.3895314020309,-4.308828513477119,-4.308828513477119,-4.308828513477119,2.851686827396244,2.851686827396244,2.851686827396244,-7.160515340873363,-7.160515340873363,-7.160515340873363,0.0,0.0,0.0,176.0807028885538
2023-10-19,180.6265162636584,168.46112227663247,183.25112473693898,180.6265162636584,180.6265162636584,-4.570774755775778,-4.570774755775778,-4.570774755775778,2.806883217647268,2.806883217647268,2.806883217647268,-7.377657973423046,-7.377657973423046,-7.377657973423046,0.0,0.0,0.0,176.05574150788263
2023-10-20,180.86350112528592,169.1639492021089,183.0605039976065,180.86350112528592,180.86350112528592,-4.4645338811135185,-4.4645338811135185,-4.4645338811135185,3.124898774210402,3.124898774210402,3.124898774210402,-7.589432655323921,-7.589432655323921,-7.589432655323921,0.0,0.0,0.0,176.3989672441724
2023-10-23,181.57445571016848,168.79062703608787,183.70573813422533,181.57445571016848,181.57445571016848,-5.018961957099919,-5.018961957099919,-5.018961957099919,3.1615062699855696,3.1615062699855696,3.1615062699855696,-8.18046822708549,-8.18046822708549,-8.18046822708549,0.0,0.0,0.0,176.55549375306856
2023-10-24,181.81144057179597,169.23718358508836,184.03400548646175,181.81144057179597,181.81144057179597,-5.273282847128097,-5.273282847128097,-5.273282847128097,3.0864135289092065,3.0864135289092065,3.0864135289092065,-8.359696376037304,-8.359696376037304,-8.359696376037304,0.0,0.0,0.0,176.53815772466788
2023-10-25,182.0484254334235,169.42934648506852,183.71037261485216,182.0484254334235,182.0484254334235,-5.677346286202655,-5.677346286202655,-5.677346286202655,2.8516868273959504,2.8516868273959504,2.8516868273959504,-8.529033113598606,-8.529033113598606,-8.529033113598606,0.0,0.0,0.0,176.37107914722083
2023-10-26,182.285410295051,169.28688017256573,184.1662021256243,182.285410295051,182.285410295051,-5.88128122535433,-5.88128122535433,-5.88128122535433,2.806883217646257,2.806883217646257,2.806883217646257,-8.688164443000588,-8.688164443000588,-8.688164443000588,0.0,0.0,0.0,176.40412906969667
2023-10-27,182.5223951566785,169.65160296223644,184.81193445345326,182.5223951566785,182.5223951566785,-5.712039141458196,-5.712039141458196,-5.712039141458196,3.1248987742031034,3.1248987742031034,3.1248987742031034,-8.836937915661299,-8.836937915661299,-8.836937915661299,0.0,0.0,0.0,176.8103560152203
2023-10-30,183.23334977665445,170.50547041392952,184.12011647388388,183.23334977665445,183.23334977665445,-6.059853245868901,-6.059853245868901,-6.059853245868901,3.1615062699931182,3.1615062699931182,3.1615062699931182,-9.22135951586202,-9.22135951586202,-9.22135951586202,0.0,0.0,0.0,177.17349653078554
2023-10-31,183.47033464997975,169.76832489229153,184.67120025904748,183.47033464997975,183.47033464997975,-6.242875046728295,-6.242875046728295,-6.242875046728295,3.086413528910469,3.086413528910469,3.086413528910469,-9.329288575638763,-9.329288575638763,-9.329288575638763,0.0,0.0,0.0,177.22745960325145
2023-11-01,183.70731952330507,169.82173993052527,184.53125414174698,183.70731952330507,183.70731952330507,-6.575671526624187,-6.575671526624187,-6.575671526624187,2.8516868273960423,2.8516868273960423,2.8516868273960423,-9.42735835402023,-9.42735835402023,-9.42735835402023,0.0,0.0,0.0,177.1316479966809
2023-11-02,183.9443043966304,169.75382055808927,184.7046943325098,183.9443043966304,183.9443043966304,-6.708776570886104,-6.708776570886104,-6.708776570886104,2.8068832176535694,2.8068832176535694,2.8068832176535694,-9.515659788539672,-9.515659788539672,-9.515659788539672,0.0,0.0,0.0,177.2355278257443
2023-11-03,184.1812892699557,169.67642298276476,184.8893521311102,184.1812892699557,184.1812892699557,-6.469300136664993,-6.469300136664993,-6.469300136664993,3.1248987741958048,3.1248987741958048,3.1248987741958048,-9.594198910860797,-9.594198910860797,-9.594198910860797,0.0,0.0,0.0,177.7119891332907
2023-11-06,184.89224388993165,171.14164443999286,185.24161913185733,184.89224388993165,184.89224388993165,-6.608001834240977,-6.608001834240977,-6.608001834240977,3.161506269992735,3.161506269992735,3.161506269992735,-9.769508104233712,-9.769508104233712,-9.769508104233712,0.0,0.0,0.0,178.28424205569067
2023-11-07,185.12922876325695,171.14913031298747,185.68562579004666,185.12922876325695,185.12922876325695,-6.720145177178031,-6.720145177178031,-6.720145177178031,3.0864135289072228,3.0864135289072228,3.0864135289072228,-9.806558706085253,-9.806558706085253,-9.806558706085253,0.0,0.0,0.0,178.4090835860789
2023-11-08,185.36621363658227,171.45166669640284,184.9028526985779,185.36621363658227,185.36621363658227,-6.980220703320341,-6.980220703320341,-6.980220703320341,2.8516868273957487,2.8516868273957487,2.8516868273957487,-9.831907530716089,-9.831907530716089,-9.831907530716089,0.0,0.0,0.0,178.38599293326195
2023-11-09,185.6031985099076,171.29382334010148,185.61465482718808,185.6031985099076,185.6031985099076,-7.03786151044379,-7.03786151044379,-7.03786151044379,2.806883217640425,2.806883217640425,2.806883217640425,-9.844744728084216,-9.844744728084216,-9.844744728084216,0.0,0.0,0.0,178.5653369994638
2023-11-10,185.84018338323287,171.52837543989915,186.58931409886856,185.84018338323287,185.84018338323287,-6.719252601666539,-6.719252601666539,-6.719252601666539,3.1248987741885066,3.1248987741885066,3.1248987741885066,-9.844151375855047,-9.844151375855047,-9.844151375855047,0.0,0.0,0.0,179.12093078156633
2023-11-13,186.55113800320882,173.06235268590143,187.04594953118573,186.55113800320882,186.55113800320882,-6.59015514561741,-6.59015514561741,-6.59015514561741,3.161506270008217,3.161506270008217,3.161506270008217,-9.751661415625627,-9.751661415625627,-9.751661415625627,0.0,0.0,0.0,179.9609828575914
2023-11-14,186.78812287653415,173.0371413820964,187.8513213624117,186.78812287653415,186.78812287653415,-6.6007904064711305,-6.6007904064711305,-6.6007904064711305,3.0864135289039765,3.0864135289039765,3.0864135289039765,-9.687203935375107,-9.687203935375107,-9.687203935375107,0.0,0.0,0.0,180.187332470063
2023-11-15,187.02510774985944,172.87068305569142,188.21070933117974,187.02510774985944,187.02510774985944,-6.7527157458186515,-6.7527157458186515,-6.7527157458186515,2.8516868273964455,2.8516868273964455,2.8516868273964455,-9.604402573215097,-9.604402573215097,-9.604402573215097,0.0,0.0,0.0,180.2723920040408
2023-11-16,187.26209262318477,173.1416980798654,188.2371564541807,187.26209262318477,187.26209262318477,-6.695668016921172,-6.695668016921172,-6.695668016921172,2.806883217643575,2.806883217643575,2.806883217643575,-9.502551234564748,-9.502551234564748,-9.502551234564748,0.0,0.0,0.0,180.5664246062636
2023-11-17,187.49907749651007,174.05824249242127,188.51987039397397,187.49907749651007,187.49907749651007,-6.256263414988971,-6.256263414988971,-6.256263414988971,3.1248987741888996,3.1248987741888996,3.1248987741888996,-9.381162189177871,-9.381162189177871,-9.381162189177871,0.0,0.0,0.0,181.2428140815211
2023-11-20,188.21003211648602,174.71662063956018,190.21307240900893,188.21003211648602,188.21003211648602,-5.737748595319612,-5.737748595319612,-5.737748595319612,3.161506269976202,3.161506269976202,3.161506269976202,-8.899254865295815,-8.899254865295815,-8.899254865295815,0.0,0.0,0.0,182.47228352116642
2023-11-21,188.44701698981132,175.61977549065304,189.97433211976036,188.44701698981132,188.44701698981132,-5.614559569665858,-5.614559569665858,-5.614559569665858,3.086413528900731,3.086413528900731,3.086413528900731,-8.700973098566589,-8.700973098566589,-8.700973098566589,0.0,0.0,0.0,182.83245742014546
2023-11-22,188.68400186313664,176.29123188665957,190.35592101577438,188.68400186313664,188.68400186313664,-5.633994016297348,-5.633994016297348,-5.633994016297348,2.8516868273963447,2.8516868273963447,2.8516868273963447,-8.485680843693693,-8.485680843693693,-8.485680843693693,0.0,0.0,0.0,183.0500078468393
2023-11-24,189.15797160978724,176.73576573206512,190.98780036413729,189.15797160978724,189.15797160978724,-4.886601234956733,-4.886601234956733,-4.886601234956733,3.124898774173909,3.124898774173909,3.124898774173909,-8.011500009130641,-8.011500009130641,-8.011500009130641,0.0,0.0,0.0,184.2713703748305
2023-11-27,189.8689262297632,178.37579483720094,193.39338902159653,189.8689262297632,189.8689262297632,-4.06931452973412,-4.06931452973412,-4.06931452973412,3.161506269983751,3.161506269983751,3.161506269983751,-7.230820799717872,-7.230820799717872,-7.230820799717872,0.0,0.0,0.0,185.79961170002906
2023-11-28,190.10591110308852,178.55904723084873,193.30167295529984,190.10591110308852,190.10591110308852,-3.8791334810204843,-3.8791334810204843,-3.8791334810204843,3.0864135289019936,3.0864135289019936,3.0864135289019936,-6.965547009922478,-6.965547009922478,-6.965547009922478,0.0,0.0,0.0,186.22677762206803
2023-11-29,190.3428959764138,179.34543623107328,193.35061965545646,190.3428959764138,190.3428959764138,-3.852710328015548,-3.852710328015548,-3.852710328015548,2.851686827396244,2.851686827396244,2.851686827396244,-6.704397155411792,-6.704397155411792,-6.704397155411792,0.0,0.0,0.0,186.49018564839827
